,date,text
42,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc"">- og ældreminister <b>Magnus</b> <b>Heunicke</b> (S) på et pressemøde mandag eftermiddag. »Vi har rettet fokus mod syv kommuner, hvor smitteantallet er over 20 pr. 100.000 indbyggere. Det gælder udover Aarhus, Ringsted og Silkeborg også Glostrup, Nyborg, Solrød og Sorø </div>"
43,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc""> lokale coronaudbrud - herunder Aarhus og Ringsted. Der vil også blive talt om den nye bekendtgørelse omkring krav om mundbind i den kollektive trafik i Aarhus Kommune. Til stede fra regeringen vil være sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> </div>"
44,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc""> start. Kravet om mundbind blev meddelt i fredags af sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S). Kravet skal være med til at dæmme op for den stigende coronasmitte i Aarhus. En medarbejder fra Ritzau beretter, at folk generelt har været iført mundbind </div>"
45,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc"">Kravet om mundbind i al offentlig transport i Aarhus gælder fra 11. august til 1. september. Det viser en bekendtgørelse fra Sundheds- og Ældreministeriet mandag. I fredags meddelte sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S) efter et møde </div>"
46,"<span class=""artDateTime"">08.08.2020</span>","<div class=""artDesc""> på en af universitetets lokaliteter i Aarhus Kommune, er som udgangspunkt aflyst. Sammenkomster og boldspil De aarhusianske gymnasier har også reageret på sundheds- og ældreminister <b>Magnus</b> <b>Heunickes</b> opfordring til at udskyde skolestart i to uger. I fællesskab </div>"
47,"<span class=""artDateTime"">07.08.2020</span>","<div class=""artDesc"">.000 indbyggere. Men ifølge B.T.'s opgørelse er det altså ikke let for bekymrede borgere i Aarhus Kommune at få hurtig adgang til en test. Situationen har fredag fået sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S) til at indføre flere tiltag for at begrænse </div>"
48,"<span class=""artDateTime"">07.08.2020</span>","<div class=""artDesc""> <b>Magnus</b> <b>Heunicke</b> (S) til at indføre en række tiltag - herunder krav om mundbind i offentlig transport i Aarhus. Aarhus har fået sine egne 10 bud for at bremse coronasmitten Og derudover anbefales det, at fysisk fremmøde på gymnasier </div>"
49,"<span class=""artDateTime"">07.08.2020</span>","<div class=""artDesc""> ind. Smitten i Aarhus skal under kontrol, så den ikke spreder sig til resten af Danmark,« lød begrundelsen fra sundhedsminister <b>Magnus</b> <b>Heunicke</b> for de 10 ekstraordinære tiltag inden for Aarhus’ kommunegrænse. Det første bud er at stille krav </div>"
50,"<span class=""artDateTime"">07.08.2020</span>","<div class=""artDesc""> at bære mundbind,« siger Venstres Martin Geertsen ifølge Berlingske efter et møde mellem sundhedsordførerne fra Folketingets partier og regeringen. Sundhedsminister <b>Magnus</b> <b>Heunicke</b> har til Ritzau udtalt, at et tilskud til specifikke grupper </div>"
51,"<span class=""artDateTime"">07.08.2020</span>","<div class=""artDesc""> kalder det ""et spørgsmål om timing"", og både han og sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> (S) understreger på pressemødet, at man holder nøje øje med situationen. Kravet om mundbind i al offentlig transport i Aarhus sker som konsekvens </div>"
